bill_id,customer_id,billing_month,amount_due,amount_paid,payment_date
B5EED1D,C0021,2024-05-18,104.74,104.74,2024-06-10
BADCDF7,C0021,2024-12-02,165.5,165.5,2024-12-07
B2DB0A1,C0021,2024-08-09,190.45,190.45,2024-08-29
BE9A6CA,C0022,2024-09-27,60.01,60.01,2024-10-24
B86E7D3,C0022,2024-08-24,75.28,75.28,2024-09-03
B9594A0,C0022,2024-12-19,86.9,86.9,2025-01-02
B2E2AB4,C0023,2024-05-21,104.7,104.7,2024-06-08
B9A8E49,C0023,2025-05-05,124.46,124.46,2025-05-20
B617EEA,C0023,2024-12-06,180.1,180.1,2025-01-02
B995D14,C0024,2024-10-07,115.37,115.37,2024-11-03
B970BA5,C0024,2025-04-10,173.76,102.54,2025-04-23
B524FCA,C0024,2025-03-17,197.69,197.69,2025-03-31
B953DE8,C0024,2025-01-04,45.78,45.78,2025-01-09
B8CEF04,C0024,2024-12-30,160.21,160.21,2025-01-19
B46A13B,C0024,2025-01-25,197.6,197.6,2025-01-26
B0DF829,C0025,2025-04-26,101.37,101.37,2025-05-20
BC1AA56,C0025,2024-08-11,50.35,50.35,2024-08-26
BA518C4,C0025,2025-04-06,161.34,161.34,2025-04-10
B8336F9,C0026,2025-02-02,134.03,134.03,2025-03-04
B029A8B,C0026,2025-01-25,105.93,78.41,2025-02-17
BE93AE9,C0026,2024-07-22,87.16,56.22,2024-08-17
B7F0DF9,C0026,2025-05-09,115.59,58.01,2025-06-01
BD2D419,C0026,2024-10-21,64.79,64.79,2024-11-01
B9FADE9,C0026,2024-12-08,76.18,55.34,2024-12-17
B681EC1,C0027,2024-09-12,31.75,29.43,2024-09-26
B480B2C,C0027,2024-09-10,151.01,151.01,2024-09-20
B4FED9E,C0027,2024-10-04,98.06,98.06,2024-10-08
B929A0C,C0027,2025-03-17,81.69,81.69,2025-03-28
BF4B469,C0028,2024-06-19,49.68,49.68,2024-07-14
B9DB13E,C0028,2024-08-29,92.61,92.61,2024-09-21
B9AB70C,C0028,2025-03-16,197.28,197.28,2025-03-16
B9AFB91,C0028,2024-07-13,126.14,126.14,2024-07-24
B2ECDA1,C0029,2024-05-26,87.53,87.53,2024-06-19
B2EB636,C0029,2025-03-17,116.25,110.16,2025-04-07
B5DA8C5,C0029,2024-09-11,39.46,39.46,2024-09-12
B62B20F,C0030,2024-08-07,95.02,95.02,2024-08-24
B4F18E3,C0030,2024-08-09,65.49,65.49,2024-08-15
BCBBBB9,C0030,2024-08-27,145.13,145.13,2024-09-05
B46A867,C0031,2024-05-30,139.1,139.1,2024-06-07
B3AB201,C0031,2024-12-09,132.1,132.1,2024-12-22
BAD7EA0,C0031,2025-03-10,169.52,139.59,2025-03-13
BA26534,C0031,2025-02-25,70.89,70.89,2025-03-12
BFBD03F,C0031,2025-03-19,55.76,55.76,2025-03-27
B197446,C0031,2024-10-10,169.67,169.67,2024-10-21
B627FE9,C0032,2025-04-05,73.16,52.92,2025-04-11
BF43034,C0032,2024-11-20,143.88,143.88,2024-11-27
B072830,C0032,2024-08-01,20.49,20.49,2024-08-30
BCA05C6,C0032,2024-12-20,39.88,39.88,2025-01-04
BD4B862,C0032,2024-08-12,46.85,34.21,2024-09-04
B87D531,C0032,2025-01-26,150.24,150.24,2025-02-15
BB5B23F,C0033,2024-12-09,102.22,102.22,2024-12-17
B23DB35,C0033,2024-07-30,103.57,59.93,2024-07-31
BE1C4E7,C0033,2025-03-15,173.4,173.4,2025-04-05
B7DF0A8,C0033,2024-12-25,76.29,76.29,2024-12-28
BD9E3EB,C0034,2025-02-12,21.74,17.2,2025-02-22
B78E10D,C0034,2024-12-11,84.35,84.35,2024-12-30
B705307,C0034,2025-02-07,68.3,68.3,2025-02-18
B881C50,C0035,2025-03-31,52.92,52.92,2025-04-30
B1A8C86,C0035,2024-07-28,102.18,102.18,2024-08-19
B611769,C0035,2024-09-12,173.12,173.12,2024-10-02
BA9A445,C0035,2024-05-12,179.5,179.5,2024-05-16
B358A85,C0035,2025-01-25,145.31,134.28,2025-01-30
BFFE246,C0036,2024-09-22,94.88,94.88,2024-10-17
B38A009,C0036,2025-01-24,122.41,122.41,2025-02-12
B1BB4AF,C0036,2025-05-09,88.36,88.36,2025-05-09
B3F0BC3,C0037,2025-03-24,106.95,106.95,2025-04-21
B800C6D,C0037,2025-03-17,94.03,58.08,2025-03-27
BA79A4B,C0037,2024-09-17,22.22,22.22,2024-10-03
B0C2E7F,C0037,2024-09-24,158.16,158.16,2024-10-12
BB2DC09,C0038,2024-05-12,196.02,196.02,2024-05-22
B9624F4,C0038,2025-01-07,113.44,113.44,2025-01-26
BADAC4C,C0038,2024-05-16,37.14,37.14,2024-05-23
B94BBF9,C0038,2024-07-28,106.75,106.75,2024-08-17
BE7724A,C0039,2025-03-22,46.76,46.76,2025-04-19
BB4E13B,C0039,2025-01-26,197.8,156.17,2025-01-31
BC7996C,C0039,2024-07-22,111.0,111.0,2024-08-06
B6BECC5,C0039,2024-07-23,176.49,127.29,2024-07-30
B864ACA,C0039,2024-05-20,79.56,79.56,2024-06-05
B5FF10D,C0039,2025-01-12,60.09,60.09,2025-01-24
B37D33E,C0040,2024-07-05,34.19,34.19,2024-07-23
B37693E,C0040,2025-03-07,100.66,100.66,2025-03-21
B6D7EDD,C0040,2024-11-13,76.89,76.89,2024-12-06
B1FC29D,C0040,2024-08-02,137.61,94.34,2024-08-19
BC8D976,C0041,2025-02-09,168.66,168.66,2025-03-11
B0A944B,C0041,2024-12-29,131.43,131.43,2025-01-14
BA90DCA,C0041,2025-04-18,121.22,121.22,2025-05-02
B11AA9F,C0042,2024-08-19,85.4,51.27,2024-09-02
BB27D88,C0042,2024-12-24,79.76,79.76,2025-01-12
B561DE7,C0042,2024-10-22,105.16,105.16,2024-11-13
B2C4C76,C0042,2024-12-06,101.46,80.81,2024-12-06
B5B6CCB,C0042,2024-09-20,81.44,81.44,2024-10-20
BD71C3D,C0043,2024-09-11,118.58,118.58,2024-09-14
B8C3D36,C0043,2025-02-08,28.24,28.24,2025-02-12
BE222E4,C0043,2024-10-28,167.93,167.93,2024-11-10
B0B5DC7,C0043,2024-06-06,39.25,39.25,2024-06-12
B140F8E,C0043,2024-06-28,41.73,41.73,2024-07-04
B241BD5,C0044,2025-01-31,168.42,168.42,2025-02-10
BEB4285,C0044,2024-10-09,39.4,39.4,2024-11-07
B4038B7,C0044,2025-02-22,133.98,133.98,2025-02-25
B41B198,C0044,2024-08-18,158.99,158.99,2024-09-08
B740C8F,C0044,2024-08-02,126.08,126.08,2024-09-01
B5B25FF,C0044,2024-05-25,109.79,109.79,2024-05-26
BDBA171,C0045,2025-03-18,170.99,170.99,2025-04-03
B8783C9,C0045,2025-05-06,160.59,160.59,2025-05-28
BFFE3DD,C0045,2025-02-12,124.14,124.14,2025-02-16
B5E104D,C0045,2024-06-23,38.64,38.64,2024-07-12
BFE2968,C0045,2025-02-04,178.89,178.89,2025-02-16
BC8EAE2,C0045,2025-04-12,95.36,95.36,2025-05-04
B9B1A0F,C0046,2024-09-30,69.25,69.25,2024-10-09
B03ADE5,C0046,2024-05-19,101.51,69.61,2024-06-10
BAF29A1,C0046,2024-08-13,179.56,179.56,2024-09-08
B5787E7,C0046,2025-01-13,146.27,146.27,2025-02-04
B248E50,C0047,2025-04-04,56.16,56.16,2025-04-13
BE1415D,C0047,2025-01-27,143.59,143.59,2025-01-31
BB95595,C0047,2025-03-30,196.64,196.64,2025-04-29
B658EF5,C0047,2024-08-02,52.01,52.01,2024-08-22
BC83063,C0048,2024-08-21,147.86,147.86,2024-09-07
B005A29,C0048,2024-08-03,106.47,106.47,2024-08-24
B7E41A4,C0048,2024-06-19,147.82,147.82,2024-07-17
B5D0251,C0048,2024-09-05,171.45,171.45,2024-10-02
BB45D0F,C0048,2024-08-01,96.03,52.62,2024-08-13
BAB6EA9,C0049,2025-04-26,29.55,18.33,2025-05-21
BF3C356,C0049,2025-04-27,48.97,48.97,2025-05-05
B8882AF,C0049,2024-12-30,46.36,39.54,2025-01-05
B21322B,C0049,2025-02-15,155.65,134.84,2025-02-18
BD49FF2,C0050,2024-09-25,153.63,153.63,2024-10-02
B76455E,C0050,2024-10-23,111.97,111.97,2024-11-14
BDA0B8A,C0050,2024-06-24,71.77,71.77,2024-07-23
BB12C40,C0050,2025-01-02,88.68,88.68,2025-01-27
B67D3D2,C0051,2024-09-27,193.85,161.8,2024-10-03
B8B9AE9,C0051,2024-12-30,131.7,131.7,2025-01-26
BA6D14F,C0051,2025-03-18,99.75,99.75,2025-04-07
B64C3E2,C0051,2025-03-13,146.83,146.83,2025-04-06
B0A97AB,C0051,2024-11-22,125.91,125.91,2024-11-28
B97E52B,C0052,2024-11-17,72.95,72.95,2024-12-08
B1262F5,C0052,2024-07-26,33.4,33.4,2024-08-18
B53F721,C0052,2025-04-11,112.49,112.49,2025-04-24
B3931E4,C0052,2024-08-17,70.24,70.24,2024-08-22
B4BF85B,C0053,2024-09-08,21.02,21.02,2024-10-07
BB67E5C,C0053,2024-07-05,47.87,47.87,2024-07-15
B6F86D3,C0053,2024-10-20,127.44,127.44,2024-11-09
B8252C5,C0053,2024-07-03,130.81,130.81,2024-07-18
B0F3F87,C0053,2024-07-18,162.18,162.18,2024-07-20
BA889C6,C0054,2025-03-21,114.57,114.57,2025-04-06
B0799FA,C0054,2025-01-11,32.27,32.27,2025-01-24
BD2D1BE,C0054,2025-04-03,117.75,117.75,2025-04-14
B10B128,C0054,2025-01-22,59.82,59.82,2025-02-01
B9A0449,C0054,2024-06-19,79.59,79.59,2024-07-19
BB0FC49,C0055,2024-05-25,199.39,199.39,2024-06-14
BDD703C,C0055,2024-10-14,21.58,21.58,2024-10-28
BF038D4,C0055,2025-02-23,63.26,63.26,2025-03-24
BF9D45F,C0055,2024-07-26,131.8,131.8,2024-08-16
BA2E388,C0055,2024-06-12,179.42,179.42,2024-07-07
B86716E,C0055,2024-11-12,190.1,190.1,2024-11-29
B15005E,C0056,2025-04-03,24.45,24.45,2025-04-27
B0C69CA,C0056,2024-06-10,87.49,87.49,2024-06-24
B5105D9,C0056,2024-08-24,107.62,107.62,2024-09-13
B88D9E2,C0056,2025-01-23,54.65,54.65,2025-02-22
B8ABBEF,C0056,2025-04-21,37.27,37.27,2025-05-15
B46D5BC,C0057,2025-03-29,132.85,132.85,2025-04-18
BCBD7FF,C0057,2024-09-29,159.24,159.24,2024-10-12
B307147,C0057,2024-09-02,170.42,170.42,2024-09-28
B06638C,C0058,2024-11-24,136.38,136.38,2024-12-17
B32D378,C0058,2024-11-10,143.49,118.03,2024-11-11
BDA4510,C0058,2024-10-24,35.75,30.65,2024-11-10
B7C9D63,C0058,2025-04-12,32.68,32.68,2025-05-11
B3FE216,C0058,2024-07-05,66.56,66.56,2024-07-25
BE0DD56,C0058,2024-10-10,92.8,92.8,2024-10-22
B134367,C0059,2025-03-31,116.27,116.27,2025-04-19
BEF6CB8,C0059,2024-08-21,31.38,31.38,2024-08-22
B1CCDE7,C0059,2025-01-09,146.16,134.12,2025-01-12
BDEAACF,C0060,2024-09-06,161.64,161.64,2024-09-08
BD04C65,C0060,2025-02-28,70.67,70.67,2025-03-12
B16F71C,C0060,2025-01-28,91.12,91.12,2025-02-12
BBEA944,C0060,2025-03-02,48.14,48.14,2025-03-25
B071B19,C0060,2024-11-03,90.38,90.38,2024-11-20
B15A3E9,C0061,2025-03-25,192.82,155.18,2025-04-23
BE3C583,C0061,2025-04-03,193.77,193.77,2025-04-23
BD7CCD5,C0061,2024-10-23,87.16,87.16,2024-11-09
B406721,C0061,2025-03-16,177.46,92.07,2025-04-03
B7710E1,C0061,2024-11-25,127.4,127.4,2024-12-25
BD7BB1C,C0062,2025-01-28,74.84,74.84,2025-02-25
BBE263B,C0062,2024-10-26,150.67,150.67,2024-11-23
B4C7BCF,C0062,2025-03-08,136.27,136.27,2025-03-13
B1F0E78,C0063,2024-08-28,59.74,59.74,2024-09-03
BF54C44,C0063,2024-10-27,40.63,40.63,2024-11-14
B7D9977,C0063,2025-03-22,173.41,173.41,2025-04-20
B2FAA9F,C0063,2024-09-23,198.21,198.21,2024-10-13
B7F7B74,C0064,2024-10-04,72.32,39.36,2024-10-27
BC97550,C0064,2024-11-16,124.51,124.51,2024-11-27
BB312CE,C0064,2024-07-01,43.08,43.08,2024-07-04
B422A90,C0065,2025-02-19,131.51,131.51,2025-03-01
BDDC0E0,C0065,2024-10-15,107.46,107.46,2024-11-05
BBBE7E6,C0065,2024-12-25,75.02,75.02,2025-01-12
B1E856A,C0065,2024-10-24,122.04,122.04,2024-11-23
BE5331D,C0065,2024-12-04,97.1,59.31,2024-12-11
BF19A49,C0066,2025-03-25,69.8,69.8,2025-04-15
B06BBAD,C0066,2024-12-22,151.94,151.94,2025-01-05
B2E6311,C0066,2024-05-26,100.16,100.16,2024-06-10
BA9DF8C,C0066,2024-06-01,119.3,119.3,2024-06-20
BB7DC5F,C0066,2025-03-24,34.76,34.76,2025-04-19
B642AAF,C0066,2024-08-20,45.2,45.2,2024-08-28
B250B35,C0067,2024-07-29,150.94,150.94,2024-08-25
B00C953,C0067,2024-08-13,111.29,84.79,2024-08-25
B3F3DC0,C0067,2025-03-13,158.46,158.46,2025-03-14
BFC30C8,C0068,2025-03-17,117.82,117.82,2025-04-01
B3941AA,C0068,2025-01-24,137.7,93.17,2025-02-21
B58676D,C0068,2024-11-13,158.99,158.99,2024-11-22
B9A0E60,C0068,2025-05-05,44.1,44.1,2025-05-07
B27AC9E,C0068,2025-03-24,91.42,91.42,2025-04-14
B94E163,C0069,2024-08-14,172.64,172.64,2024-09-02
B7C0EBF,C0069,2024-12-15,143.15,143.15,2024-12-19
B6AE98E,C0069,2025-02-23,100.32,100.32,2025-03-25
B33B5A8,C0069,2025-01-27,121.85,121.85,2025-01-31
B7A4CEE,C0070,2024-10-30,189.05,159.31,2024-11-06
B2D71FF,C0070,2024-07-27,31.32,31.32,2024-07-28
B556507,C0070,2024-11-07,140.35,140.35,2024-12-02
B299386,C0070,2024-12-10,85.03,85.03,2024-12-24
B46AF2A,C0070,2024-06-16,178.68,141.49,2024-06-19
BE6B748,C0070,2024-09-05,146.67,146.67,2024-10-01
BBCD3A7,C0071,2024-05-31,170.28,170.28,2024-06-17
BDF709A,C0071,2024-07-25,122.63,122.63,2024-08-06
B017533,C0071,2025-02-06,85.75,85.75,2025-03-04
B9DA367,C0071,2025-02-22,34.01,34.01,2025-03-23
BBC764B,C0071,2025-05-07,60.12,60.12,2025-06-02
B3EBC8C,C0072,2024-12-13,107.64,107.64,2025-01-01
B19844E,C0072,2025-01-23,21.19,21.19,2025-02-06
BB041A9,C0072,2024-06-01,49.81,39.33,2024-06-07
B75C09A,C0072,2024-07-24,47.04,47.04,2024-08-12
BCDF62A,C0072,2024-06-05,149.11,90.01,2024-06-30
B2A3688,C0073,2025-02-07,149.65,149.65,2025-02-22
B3A173A,C0073,2024-12-16,106.22,106.22,2025-01-05
BBA661E,C0073,2025-01-08,170.01,88.31,2025-01-26
B9C7EAE,C0073,2025-02-07,126.62,92.52,2025-03-07
B27746F,C0073,2024-11-13,123.01,75.8,2024-11-18
B6267BE,C0074,2024-11-03,127.88,127.88,2024-11-03
B1A285B,C0074,2024-12-05,178.13,178.13,2024-12-31
B7012EB,C0074,2024-08-15,71.02,49.87,2024-08-30
B64FD60,C0074,2024-08-27,176.11,176.11,2024-09-22
B2FC01E,C0074,2024-08-27,93.94,71.6,2024-09-20
BFD2691,C0074,2024-10-22,52.74,52.74,2024-10-30
B9F49BF,C0075,2024-08-14,150.35,150.35,2024-08-28
B31AC59,C0075,2025-03-07,127.38,85.37,2025-03-11
B908D7F,C0075,2025-02-02,39.54,39.54,2025-03-01
B8F6325,C0075,2025-03-28,183.68,183.68,2025-04-23
BCA665F,C0076,2024-10-10,128.99,128.99,2024-11-07
B6E9144,C0076,2025-04-13,130.65,111.41,2025-04-29
B060E5A,C0076,2025-03-12,155.43,123.84,2025-04-09
B3D2AAE,C0076,2024-12-25,128.63,128.63,2025-01-22
B567183,C0077,2025-04-23,113.97,113.97,2025-04-24
BD30E3A,C0077,2024-06-08,145.58,145.58,2024-07-08
B9980D2,C0077,2024-08-04,164.41,164.41,2024-08-16
B1F8AC0,C0077,2024-10-27,83.09,83.09,2024-11-25
BAF0C86,C0077,2024-07-04,157.08,157.08,2024-07-07
BC295D6,C0077,2024-11-19,96.59,96.59,2024-12-13
B837E62,C0078,2024-09-29,183.82,141.4,2024-10-16
BF16317,C0078,2025-02-15,93.56,93.56,2025-03-09
B963C1C,C0078,2024-10-09,153.86,113.11,2024-10-25
B00BEC3,C0078,2024-09-04,21.29,21.29,2024-09-26
B82DFE4,C0079,2025-04-05,93.59,64.74,2025-04-23
B5A29C6,C0079,2025-02-20,65.65,65.65,2025-03-05
B46129A,C0079,2024-10-21,121.64,121.64,2024-11-11
BF1EA3E,C0079,2024-06-23,91.54,91.54,2024-07-10
BF2F2E8,C0079,2025-03-12,161.08,161.08,2025-03-23
B015066,C0080,2024-08-28,65.68,65.68,2024-09-08
BC53EB7,C0080,2025-04-20,159.36,159.36,2025-04-24
B648563,C0080,2025-01-09,173.9,173.9,2025-02-01
BF467F9,C0080,2025-01-20,61.36,61.36,2025-02-19
B6EE816,C0080,2024-05-24,49.12,49.12,2024-06-05
BEEE809,C0080,2024-08-24,161.49,161.49,2024-09-12
B697BA0,C0081,2025-03-28,48.93,48.93,2025-03-28
BBC1B60,C0081,2024-10-10,164.79,164.79,2024-10-25
B5EFD47,C0081,2025-01-11,186.66,186.66,2025-01-13
B088F8B,C0082,2024-10-18,59.92,30.98,2024-10-30
B014A84,C0082,2024-05-13,187.52,187.52,2024-06-02
B32FDD9,C0082,2025-04-13,113.78,113.78,2025-05-02
B8508AD,C0082,2025-02-23,30.34,30.34,2025-02-28
B3D3BF9,C0082,2025-04-17,135.25,135.25,2025-04-23
BA4F09E,C0083,2024-08-27,55.05,55.05,2024-09-12
BE1FBD4,C0083,2024-09-17,112.85,112.85,2024-09-22
B82F9D0,C0083,2024-09-26,141.32,141.32,2024-10-16
B6EE22A,C0083,2024-06-21,20.05,20.05,2024-06-29
B5B7884,C0083,2024-08-19,160.34,160.34,2024-08-31
B6DE7D3,C0084,2024-11-21,125.49,125.49,2024-12-14
B630363,C0084,2024-06-23,146.65,146.65,2024-07-10
B24C473,C0084,2024-09-27,71.21,71.21,2024-10-26
B7201A1,C0084,2024-08-27,124.93,124.93,2024-09-22
BFDD4CA,C0084,2024-12-31,69.77,69.77,2025-01-06
B811980,C0084,2025-04-17,101.86,101.86,2025-04-17
B972AD4,C0085,2025-03-09,51.51,51.51,2025-03-26
B7240C4,C0085,2024-10-24,33.03,33.03,2024-11-23
BE782A9,C0085,2024-06-24,41.06,41.06,2024-07-02
BBA08BA,C0085,2024-06-01,177.7,177.7,2024-06-19
B9C81D7,C0085,2024-08-01,65.03,65.03,2024-08-13
BAB368D,C0086,2025-02-19,158.59,158.59,2025-03-21
BE0B2E2,C0086,2025-03-10,159.61,159.61,2025-04-07
B5EF426,C0086,2025-03-13,125.63,69.39,2025-03-15
B698D78,C0086,2025-01-29,88.88,88.88,2025-02-05
B80BB75,C0086,2025-03-31,141.84,141.84,2025-04-10
B9A6AA3,C0086,2024-10-14,94.24,94.24,2024-10-31
B603032,C0087,2025-04-26,146.15,146.15,2025-05-05
B89B03E,C0087,2024-12-31,36.74,36.74,2025-01-26
B5B0D31,C0087,2025-04-03,81.56,81.56,2025-04-08
BA053DA,C0088,2024-10-26,76.5,76.5,2024-11-13
B55A078,C0088,2024-11-08,68.43,68.43,2024-11-29
B0A8A36,C0088,2025-02-02,187.45,187.45,2025-02-25
B691D09,C0088,2024-10-09,55.94,55.94,2024-11-05
B758C16,C0088,2024-12-12,67.77,67.77,2025-01-07
BF4E078,C0088,2024-06-30,64.95,64.95,2024-07-04
BB99C19,C0089,2024-10-09,41.58,38.67,2024-10-24
B76D98C,C0089,2024-12-03,130.49,130.49,2024-12-20
BF62FA6,C0089,2024-12-18,192.44,192.44,2024-12-29
BD04724,C0090,2025-02-14,108.62,108.62,2025-03-14
BCE5685,C0090,2025-02-05,123.41,123.41,2025-02-10
B21D8B2,C0090,2024-09-23,197.19,197.19,2024-10-01
BD910ED,C0090,2025-01-16,91.62,91.62,2025-01-20
B9B62A0,C0090,2025-04-30,29.75,29.75,2025-05-15
B10A09F,C0091,2025-03-22,110.45,110.45,2025-04-12
B23D4A3,C0091,2025-02-10,159.66,159.66,2025-02-13
B4358AC,C0091,2025-01-28,145.68,145.68,2025-02-19
B989278,C0092,2024-09-19,22.13,22.13,2024-10-07
B4067D4,C0092,2025-04-21,38.13,38.13,2025-05-18
B283A8C,C0092,2024-07-22,66.75,66.75,2024-07-29
B223856,C0093,2024-07-14,104.84,104.84,2024-07-25
B205D9B,C0093,2025-03-10,53.1,53.1,2025-03-23
BC717AB,C0093,2025-02-23,146.13,146.13,2025-03-22
BABE852,C0093,2025-01-10,92.11,92.11,2025-01-28
BE16AF4,C0093,2025-01-01,43.61,43.61,2025-01-08
BE64245,C0094,2025-04-15,149.75,149.75,2025-05-02
B97139A,C0094,2024-07-07,97.8,97.8,2024-07-11
BCE66BD,C0094,2024-11-29,164.01,164.01,2024-12-14
B208EC4,C0095,2024-10-07,51.79,51.79,2024-11-04
B8B198D,C0095,2024-06-09,172.89,172.89,2024-07-02
B81C4E8,C0095,2024-08-07,76.83,76.83,2024-08-15
B8BB9AE,C0096,2024-11-17,91.71,91.71,2024-11-18
BC4879C,C0096,2025-04-23,58.78,58.78,2025-05-19
B75AE29,C0096,2024-06-03,133.38,133.38,2024-06-13
B68BEA4,C0097,2024-08-10,84.97,84.97,2024-09-08
B2CCCE4,C0097,2024-09-02,165.8,165.8,2024-09-15
