usage_id,customer_id,call_minutes,data_usage_gb,sms_count,usage_date
UCF15A6,C0009,248.96,39.56,172,2025-03-05
U6C0C13,C0009,361.69,33.78,46,2024-07-11
UC2A046,C0010,322.93,51.57,176,2024-12-02
U8637DE,C0010,346.48,50.5,117,2024-09-28
U5FD78A,C0010,122.75,62.33,149,2025-03-04
UCEAAA2,C0010,54.9,10.49,296,2024-08-15
U56BA46,C0010,344.91,72.74,8,2025-04-10
UD8BCCF,C0011,100.74,58.94,260,2024-09-30
U1BB3DE,C0011,52.67,57.71,209,2025-04-20
U4B949D,C0011,204.83,53.1,98,2024-12-31
U2A574B,C0011,23.09,74.44,273,2025-03-12
U284FBA,C0011,38.41,75.36,267,2025-01-23
U7CFBC8,C0011,115.58,74.52,140,2025-02-04
UEEC299,C0012,209.63,26.08,270,2024-09-21
U8E53A8,C0012,40.01,79.7,267,2024-07-12
U3A9635,C0012,254.4,49.44,127,2024-06-06
U636EC8,C0012,149.34,12.03,133,2024-11-27
UBE02C3,C0013,354.88,37.37,73,2025-03-04
U6C32B4,C0013,56.23,43.17,148,2025-04-18
UEA82A3,C0013,128.29,49.57,146,2024-12-25
UD92688,C0014,157.7,48.42,102,2025-03-26
U537B9F,C0014,78.63,42.5,154,2024-07-02
U0ED661,C0014,266.02,2.42,88,2025-03-11
U2F6EC2,C0014,296.01,27.18,215,2025-02-06
UDD381F,C0014,339.29,45.03,20,2025-04-05
UCA206D,C0014,282.68,28.2,269,2024-11-05
UC8A1A2,C0015,195.04,35.33,105,2024-07-16
U8D94F1,C0015,119.39,68.99,95,2024-06-14
UF04D23,C0015,175.43,8.15,286,2025-01-12
UC82C30,C0015,456.65,31.77,206,2024-06-01
U09C84D,C0016,140.32,20.86,53,2024-11-17
UBE8C29,C0016,315.21,77.99,129,2024-06-27
U9971BA,C0016,138.01,78.99,217,2024-07-28
U461398,C0016,177.13,14.98,66,2024-06-14
UD45C03,C0017,206.46,49.06,264,2025-03-31
U71AC53,C0017,401.16,75.24,58,2025-01-03
U0F37E9,C0017,211.99,14.65,244,2025-01-01
UBE4977,C0017,191.65,37.18,126,2025-04-14
U79F012,C0017,192.07,52.74,283,2025-05-08
U532454,C0018,170.57,51.57,14,2024-09-12
UFA9C4B,C0018,358.73,66.8,3,2025-03-21
U664B58,C0018,316.55,28.68,225,2025-01-04
UB30C65,C0018,137.31,26.94,269,2024-08-30
U574607,C0018,477.95,39.03,214,2025-04-26
U391BE8,C0019,271.99,41.65,58,2024-12-22
UCA0729,C0019,120.66,53.49,60,2025-03-13
U98057C,C0019,97.61,35.14,253,2024-10-23
U7730D5,C0019,272.53,19.17,179,2024-12-20
U5A73C2,C0019,307.26,43.48,65,2025-01-09
UB52797,C0020,187.53,23.31,277,2024-05-09
U797212,C0020,273.01,31.26,7,2024-12-30
UE217EB,C0020,335.05,70.46,127,2025-01-07
U134984,C0020,161.52,39.23,180,2024-08-09
UF95F5D,C0020,162.59,8.98,134,2024-05-31
UC311CA,C0021,60.57,61.37,55,2024-05-13
U565B24,C0021,25.98,8.44,236,2025-01-20
U562B1B,C0021,433.54,45.67,40,2024-07-20
U3D6CFE,C0022,415.87,40.76,120,2024-07-17
UA47D6C,C0022,470.92,25.41,128,2025-04-04
U0D22FA,C0022,148.05,78.67,4,2025-02-01
U24E389,C0022,340.36,11.21,243,2025-02-10
U0C0A54,C0023,76.38,35.67,250,2025-02-09
U61D956,C0023,351.68,73.2,197,2025-01-01
U42A4DC,C0023,327.12,79.65,99,2024-05-27
UEB69CE,C0024,418.2,8.14,230,2025-02-21
U2D7E70,C0024,148.07,39.25,129,2025-01-07
U87C4AB,C0024,16.86,42.33,98,2024-12-21
UF74E78,C0025,398.73,77.68,275,2025-02-27
UAD8706,C0025,301.6,13.22,289,2025-02-07
U659523,C0025,321.25,69.05,133,2024-12-14
UC4FFBC,C0026,306.46,61.23,166,2024-11-14
U843D45,C0026,282.37,23.99,79,2025-03-21
UDBE37C,C0026,350.32,19.99,215,2024-12-26
U824612,C0027,167.76,65.8,163,2024-08-19
U2E171E,C0027,282.0,77.31,268,2024-12-18
U4F109E,C0027,16.99,13.9,281,2025-01-02
UC4237D,C0027,440.5,25.96,91,2024-05-24
U822BB9,C0027,495.44,3.98,6,2024-05-24
UF698DF,C0028,188.88,43.73,61,2024-05-17
U3C77FA,C0028,432.87,61.59,261,2024-11-16
U83A3AB,C0028,16.62,56.07,0,2024-08-24
UA28CE5,C0029,172.77,16.01,275,2024-12-29
UB4D9E3,C0029,85.35,77.78,268,2024-07-26
U1D76E0,C0029,370.72,50.56,79,2025-02-22
U26AAA0,C0030,455.09,79.89,5,2025-04-17
U6EEA6D,C0030,232.61,5.38,277,2024-05-12
UAC0AD6,C0030,40.64,61.21,292,2024-12-16
U3CA7FC,C0031,470.37,16.8,239,2025-02-13
UD3FF06,C0031,195.45,51.98,85,2024-08-09
U0707DB,C0031,65.3,21.89,178,2024-09-05
U67F56B,C0031,427.1,55.9,296,2024-08-31
U503527,C0032,228.22,67.15,64,2024-08-11
U5C4E46,C0032,232.63,11.16,85,2025-03-30
UC8F653,C0032,417.59,55.72,157,2024-08-11
U7EFF5C,C0033,334.48,33.01,170,2024-10-24
U14C81B,C0033,273.59,68.23,156,2024-07-23
UC13642,C0033,296.04,56.43,199,2024-07-11
UE2D8E3,C0033,108.11,46.82,276,2024-08-10
UC215E5,C0034,325.98,21.91,165,2024-08-30
U446023,C0034,182.06,7.53,72,2025-01-23
UAA95D7,C0034,387.91,59.84,122,2024-09-12
U1889CD,C0034,186.13,68.01,258,2025-02-13
UB5D37F,C0034,180.73,67.7,76,2024-11-24
UB3F2A0,C0034,447.19,52.13,134,2024-06-18
UBC405A,C0035,330.85,51.99,49,2024-06-24
U5940D3,C0035,444.87,6.99,13,2024-11-09
UF66600,C0035,181.57,76.82,284,2024-05-21
UC67C0F,C0035,249.24,17.03,76,2024-12-09
U05B920,C0035,297.64,7.36,299,2025-05-03
UE3D83C,C0035,304.71,60.76,152,2024-06-12
U78AAE3,C0036,220.01,45.52,80,2025-03-25
UC975D4,C0036,329.52,15.37,260,2024-07-30
UD00EE5,C0036,311.42,58.58,49,2025-02-26
U306EF3,C0037,170.87,21.43,277,2025-02-20
U4849CF,C0037,49.63,6.15,61,2024-07-08
U14190D,C0037,241.87,13.36,143,2024-11-26
U389CD4,C0037,175.22,41.53,274,2024-06-19
U677B24,C0037,371.95,22.0,131,2024-09-16
U64B2C9,C0038,422.42,46.32,89,2024-10-30
U26D09B,C0038,216.24,44.43,264,2025-03-08
UD65B9B,C0038,485.38,28.05,276,2024-06-20
U327609,C0039,490.22,39.71,94,2024-12-04
U14F6DA,C0039,493.77,66.34,285,2024-10-02
UB703F9,C0039,322.49,2.29,233,2024-06-21
U2BB678,C0040,49.36,72.32,146,2024-05-30
U6D223B,C0040,433.39,77.17,164,2025-02-20
U9D8837,C0040,228.72,55.01,65,2024-12-21
U7FBA82,C0041,178.48,65.63,191,2025-03-28
UA45975,C0041,437.89,34.02,12,2024-10-12
U2B2A58,C0041,354.08,44.01,217,2025-02-20
U9BC555,C0041,410.8,58.45,0,2025-03-02
UBC3412,C0041,60.93,55.72,287,2024-07-23
U843A6D,C0042,72.58,17.28,78,2024-08-28
UE0B56A,C0042,143.87,15.39,146,2024-07-15
UE3171D,C0042,394.51,54.43,2,2025-01-23
U492E0A,C0043,486.82,27.92,292,2025-04-07
U86F283,C0043,349.38,31.76,229,2025-04-13
U46F053,C0043,453.03,25.01,137,2024-11-29
U9D3839,C0043,392.74,4.52,184,2024-09-28
U2B076F,C0044,347.66,71.85,147,2024-06-13
U7EE710,C0044,271.0,39.01,234,2025-04-24
UCC94D2,C0044,199.31,76.24,27,2025-03-06
U1F4F10,C0044,472.52,42.75,170,2024-10-19
U51B2C1,C0044,225.34,53.71,15,2025-01-06
U2193B3,C0044,472.91,8.01,29,2025-04-21
U136592,C0045,360.9,66.45,127,2024-06-11
U04273A,C0045,140.85,37.09,41,2024-07-20
U76A85F,C0045,257.4,65.69,68,2025-03-13
U2E67FF,C0046,342.2,12.97,7,2025-05-05
UFF556B,C0046,164.86,69.5,244,2024-10-06
UC63927,C0046,439.06,36.81,109,2024-12-28
UD5FEEC,C0047,496.4,62.08,95,2024-12-20
U02A60C,C0047,466.07,67.99,193,2025-04-03
U933DC4,C0047,178.67,36.22,182,2024-12-11
U99BF8C,C0047,180.05,26.88,211,2025-01-16
U365317,C0047,283.15,75.29,276,2024-12-21
UEC88B9,C0047,186.44,58.12,218,2025-03-02
U693B0E,C0048,141.01,77.44,244,2024-11-09
UA8BE89,C0048,267.32,52.8,158,2024-08-09
UD79CBA,C0048,438.65,41.06,57,2024-07-18
U7FCB56,C0048,119.84,4.58,89,2025-04-06
U78A4C2,C0048,178.27,21.26,135,2024-11-06
UB11B85,C0048,176.88,20.32,146,2024-11-02
UD5D239,C0049,314.64,28.26,299,2024-10-22
U12A418,C0049,140.1,50.32,260,2024-12-17
U200075,C0049,150.22,36.68,146,2024-10-12
U49008C,C0049,410.95,55.31,159,2025-02-03
U913E6A,C0049,192.22,26.65,197,2024-08-02
U35DF71,C0049,113.88,16.07,20,2024-07-23
U152679,C0050,305.65,27.12,54,2025-03-20
UC9F8DD,C0050,427.85,42.04,201,2025-04-13
U3AF48F,C0050,327.68,16.23,225,2024-10-28
UD31BE0,C0050,429.2,29.44,178,2025-04-03
UB5C741,C0050,169.59,22.71,91,2025-01-04
U5889CE,C0050,291.68,75.17,97,2024-09-18
UAE1859,C0051,443.41,51.99,147,2025-02-13
U22C8AF,C0051,47.51,53.58,235,2024-07-22
U0DAC75,C0051,425.1,71.29,44,2024-08-28
U8BDD3A,C0051,49.68,0.96,55,2024-05-24
U3BF2A6,C0052,226.33,62.81,150,2024-10-03
U301FDA,C0052,471.01,15.9,26,2024-10-06
U24E9B3,C0052,416.61,43.87,1,2025-04-28
UD16402,C0052,434.37,41.82,79,2025-03-08
UB07612,C0052,224.86,79.58,114,2024-12-08
U87026B,C0052,345.38,46.09,138,2024-06-25
U4DAB5D,C0053,133.92,48.55,156,2024-10-04
U436454,C0053,390.02,31.54,264,2024-08-15
UC86824,C0053,271.27,17.37,258,2024-12-13
U9ECE95,C0053,214.78,31.58,46,2025-02-19
U5E3796,C0053,353.3,42.35,246,2024-08-26
U0A7BE2,C0053,404.54,30.96,161,2024-11-29
UCB6E25,C0054,274.44,15.53,212,2024-06-23
U11E7CE,C0054,320.89,13.42,34,2024-11-17
U8B1350,C0054,453.54,36.04,288,2024-08-09
UBCE2FD,C0055,323.69,2.7,164,2024-06-02
UC7C201,C0055,104.92,5.65,214,2024-09-28
U351DDA,C0055,19.72,25.83,250,2024-12-05
U27D914,C0056,40.44,72.58,272,2024-09-09
UAF4D5E,C0056,378.72,24.51,172,2025-03-02
UA2DF75,C0056,314.37,43.25,226,2024-06-27
U823CAE,C0056,217.49,26.02,289,2024-09-16
U38828A,C0056,436.77,7.98,87,2024-07-11
U0E2D79,C0057,262.77,18.56,253,2024-05-22
U87B6C3,C0057,264.03,36.36,107,2024-12-11
U9B930A,C0057,63.51,41.86,123,2024-11-11
U825982,C0057,180.79,73.54,55,2025-01-29
U716593,C0057,93.81,19.26,133,2024-09-27
U8360BD,C0057,170.61,57.49,103,2025-02-01
U91C907,C0058,407.34,55.6,28,2024-12-30
UE65FA5,C0058,482.66,14.9,177,2024-07-21
UCF2E41,C0058,166.43,40.25,52,2025-01-24
U528866,C0058,385.27,79.51,238,2024-12-21
UD806BB,C0059,388.02,26.97,144,2025-02-17
UFA4EE1,C0059,302.5,41.39,210,2024-06-14
U50B5B4,C0059,108.57,39.92,28,2024-05-28
U917D2F,C0059,85.39,8.42,131,2025-04-19
UCCF39E,C0059,320.63,76.57,66,2024-07-04
U2D012E,C0060,31.79,30.74,248,2025-02-02
U8700E6,C0060,200.06,66.52,140,2025-01-08
U141865,C0060,111.84,22.75,212,2025-03-02
UF18719,C0061,98.91,79.98,192,2025-03-23
U73358C,C0061,485.54,17.04,187,2025-01-01
U2B9E63,C0061,205.06,6.37,206,2024-06-02
U8266CD,C0062,300.28,44.01,253,2024-06-30
UAD204D,C0062,28.49,14.1,77,2024-06-16
UA7D771,C0062,56.37,57.83,45,2025-03-11
UA5035B,C0062,141.8,51.37,116,2025-05-08
U622099,C0063,428.69,8.08,66,2025-05-06
UB152F5,C0063,328.31,53.65,259,2024-07-23
UA6772E,C0063,189.27,21.43,159,2025-01-14
UE12B82,C0063,272.63,13.97,26,2025-03-31
U750164,C0063,320.42,60.22,125,2024-11-08
UF44764,C0064,150.78,37.91,86,2025-01-06
U20FE5E,C0064,135.67,71.38,184,2024-09-28
UB4B71C,C0064,403.36,71.78,23,2024-05-16
UB8A172,C0064,384.28,71.64,59,2025-01-08
U201FC0,C0064,496.77,49.22,2,2024-08-31
U3500A1,C0065,189.13,42.7,69,2024-11-18
UEC73B2,C0065,241.9,67.73,84,2024-11-17
UFF1B3E,C0065,106.2,4.59,251,2024-07-10
UAA7A12,C0065,27.52,30.24,287,2025-05-03
UE96923,C0065,399.41,78.43,115,2025-03-04
U0ADD13,C0066,173.89,76.03,205,2025-01-05
U64AB44,C0066,127.53,29.97,284,2025-02-01
UDF3B78,C0066,41.02,61.73,284,2024-06-05
UD65426,C0066,137.71,17.19,288,2025-04-21
U1317D7,C0067,155.57,63.32,296,2024-05-15
UB395D5,C0067,284.67,3.98,176,2024-12-20
U729127,C0067,361.12,39.32,106,2024-09-30
U4D666C,C0067,414.55,67.35,268,2024-12-29
U02F63E,C0067,11.62,50.09,64,2024-10-20
UF7DC82,C0067,208.97,31.37,295,2024-09-24
UFF6F40,C0068,14.92,20.52,189,2025-04-10
U9CF5F3,C0068,22.85,36.67,161,2024-10-20
U3ED52F,C0068,17.6,33.28,200,2024-11-11
U6F5A5B,C0068,180.03,26.2,19,2024-05-23
U59C85C,C0068,326.31,26.18,203,2024-07-10
U272A3E,C0069,434.02,60.02,68,2024-07-26
UC4593A,C0069,90.26,13.95,93,2025-01-29
U415996,C0069,30.64,19.6,31,2024-12-31
U733AFE,C0069,205.66,55.37,293,2024-09-24
UE03A22,C0069,61.47,3.46,219,2025-03-16
U501F00,C0069,427.76,37.81,51,2024-10-26
U9AAF90,C0070,197.08,19.75,40,2024-09-20
U7ECE4A,C0070,383.27,63.86,46,2024-09-04
UA43324,C0070,424.11,78.57,75,2025-04-07
U0C1963,C0070,418.35,78.09,78,2025-05-09
U3DB32A,C0071,63.32,65.35,110,2024-10-10
U4DC7A9,C0071,87.28,33.19,61,2024-06-30
U67361E,C0071,142.09,57.4,67,2024-06-20
UA6A4E5,C0071,321.65,74.43,152,2025-02-23
U03C68D,C0071,76.82,21.27,79,2024-10-12
UD29420,C0071,93.7,19.57,76,2024-07-18
UC587C5,C0072,348.76,62.03,28,2024-08-28
U685FA3,C0072,17.39,8.17,66,2024-08-21
UBAB646,C0072,229.32,75.09,87,2024-12-02
UC4F682,C0072,276.84,53.93,135,2024-08-08
UCBE7C3,C0073,173.13,51.44,250,2024-09-12
U9E0BAE,C0073,287.92,57.27,119,2024-12-22
U36073C,C0073,174.47,60.84,165,2024-05-18
U275D81,C0073,486.86,9.77,248,2025-02-17
U90F21C,C0074,100.06,22.81,265,2024-09-01
U60DA34,C0074,144.65,58.95,192,2025-01-30
U3B3AC8,C0074,150.08,72.02,275,2024-05-27
U0BC749,C0074,379.27,71.91,232,2025-02-14
UCA5AFC,C0074,234.6,74.75,110,2024-08-24
UFEF165,C0074,194.22,72.46,1,2024-09-06
U36A01D,C0075,10.13,37.46,27,2024-09-05
UA8379A,C0075,202.13,71.74,121,2024-12-02
U5FBF17,C0075,194.59,10.74,96,2025-01-06
UF3D67C,C0075,455.85,57.85,171,2024-05-29
UD7A1A5,C0076,240.24,58.06,215,2024-07-03
UBBB3BC,C0076,43.74,59.8,101,2024-07-29
U001156,C0076,220.37,47.22,149,2025-04-04
UCE788C,C0076,167.41,48.06,279,2025-03-27
UA69D30,C0076,290.37,56.76,232,2025-05-05
U390BB5,C0076,105.79,58.24,93,2024-08-02
U62737F,C0077,105.18,40.44,32,2024-12-28
UBB0107,C0077,146.89,13.71,81,2025-04-01
UE1DD0B,C0077,91.22,79.33,271,2025-03-25
U6F1F5F,C0077,428.53,16.15,42,2024-10-03
UDB485A,C0077,106.46,75.14,166,2024-12-28
U04B0F7,C0078,363.72,17.79,14,2025-02-05
U728025,C0078,198.54,39.08,14,2024-08-23
U7CB973,C0078,387.99,69.01,149,2024-06-13
U53EB90,C0078,460.49,65.55,21,2024-07-25
UE9D857,C0079,499.35,24.29,87,2025-03-08
U058DCD,C0079,162.63,73.99,94,2024-05-29
U7DCFD3,C0079,299.23,12.81,189,2024-05-12
U46160F,C0080,226.96,2.59,290,2024-09-16
U324B53,C0080,118.05,56.65,178,2025-02-26
U49EDD2,C0080,26.96,33.49,80,2025-01-14
U2DDD31,C0080,350.13,49.28,96,2025-01-17
U33DAE3,C0080,106.34,76.38,142,2024-10-26
U6F6284,C0080,65.34,73.89,175,2024-11-22
U469D1D,C0081,111.54,42.02,260,2025-03-16
U7C23DA,C0081,325.53,46.81,40,2024-11-17
U433C71,C0081,368.37,64.63,11,2024-11-07
U4E6EDE,C0081,176.77,61.11,296,2024-10-31
U2DA181,C0082,176.74,38.84,292,2025-05-04
U9C5EA8,C0082,179.33,40.95,94,2024-10-12
U73A8E7,C0082,179.23,72.78,66,2024-06-09
U743A61,C0082,120.25,59.41,97,2025-03-05
UC6547B,C0082,16.86,38.82,286,2025-05-02
U81E8C5,C0083,438.25,6.07,223,2025-02-13
U1E14AF,C0083,305.47,24.63,152,2024-09-02
U6093B5,C0083,202.97,36.78,238,2024-12-22
U4F82E3,C0083,362.36,60.38,86,2025-01-25
U9932C1,C0083,374.15,8.29,280,2024-12-24
UA42CCD,C0083,132.31,29.66,194,2024-10-31
U044E8D,C0084,30.26,51.22,195,2024-06-03
UC77C67,C0084,289.97,53.33,71,2024-10-03
UAA862E,C0084,234.46,75.13,0,2025-02-28
U1A50F9,C0084,375.68,26.97,66,2024-09-10
UF1462D,C0084,341.97,29.83,135,2024-06-06
U87181C,C0085,400.03,59.81,31,2024-10-17
UEB4671,C0085,447.16,70.0,181,2024-07-23
U5573C1,C0085,372.04,14.65,155,2024-06-03
UE33DED,C0086,79.99,52.95,228,2025-02-01
U0E3A6F,C0086,216.23,51.77,13,2025-03-11
UE934DD,C0086,395.12,74.72,135,2025-02-04
UD6B7F4,C0087,372.09,45.69,154,2025-02-19
U0328D4,C0087,247.1,20.24,217,2024-06-05
U9A2A1A,C0087,412.53,14.06,147,2024-09-07
U7B9FB9,C0088,382.27,78.28,79,2025-01-24
U6B5141,C0088,21.5,25.95,115,2024-09-09
U278A25,C0088,78.71,32.93,34,2025-04-22
UB61D0D,C0088,154.52,18.04,30,2025-04-22
UE23171,C0088,350.79,72.5,106,2024-09-25
U6A6A0A,C0089,44.89,12.37,136,2025-04-07
UB03885,C0089,103.13,10.02,33,2024-08-08
UA7A421,C0089,174.22,67.54,210,2024-05-28
UF18A3D,C0089,271.41,52.22,15,2024-12-17
U8D125C,C0089,313.36,71.51,186,2025-04-01
UA1DE7F,C0089,127.98,77.46,39,2024-09-03
UA344B3,C0090,90.13,29.39,205,2024-10-04
UF4AE74,C0090,145.06,35.82,224,2025-02-26
U7C37CA,C0090,279.02,5.41,224,2024-12-13
UEF0E4C,C0090,328.76,53.6,148,2024-06-02
U6E4DE9,C0091,90.03,33.38,119,2024-05-31
UC8332C,C0091,28.14,78.62,15,2024-08-28
U6A697B,C0091,235.5,6.81,20,2024-05-21
U119DF4,C0091,368.55,58.79,55,2025-01-23
U64D70E,C0091,76.25,79.96,148,2024-05-28
U1DAF97,C0092,192.24,48.68,152,2024-08-20
UBFC503,C0092,471.8,8.83,260,2024-06-30
U3EF155,C0092,246.36,57.46,10,2024-08-15
U5CF48C,C0093,146.94,46.94,27,2024-12-08
UEC5FF2,C0093,332.37,62.45,31,2025-02-04
UD992B4,C0093,225.27,56.04,36,2024-06-19
U4846F0,C0094,459.58,14.25,15,2025-03-24
UA6E9DB,C0094,148.78,48.28,8,2025-01-19
UE30C34,C0094,359.34,33.43,28,2024-07-07
U45C78D,C0094,445.21,7.31,37,2024-05-30
U96EBC2,C0094,38.91,3.69,140,2025-02-25
U5D80F1,C0095,46.77,64.16,189,2024-05-16
U0933FC,C0095,395.06,17.75,186,2025-03-31
UE5A8A3,C0095,366.69,41.33,281,2025-03-24
UAFD7FA,C0095,165.08,31.27,7,2025-04-06
UDC5C0D,C0096,227.99,64.88,59,2024-11-09
U65B77C,C0096,140.96,21.56,116,2025-01-09
UEEB0EB,C0096,179.33,6.22,206,2024-11-29
UA02BCB,C0096,20.3,28.42,136,2024-10-13
U0DB570,C0096,362.49,74.54,242,2024-09-22
UDA8445,C0096,35.36,12.91,175,2024-09-09
UA56D15,C0097,274.54,9.63,171,2024-05-22
U1E829F,C0097,69.86,6.8,222,2024-07-27
U8209C3,C0097,95.34,58.13,49,2024-09-01
U78936E,C0097,135.47,60.24,98,2025-05-08
U44183A,C0098,64.81,31.73,215,2024-09-01
UBE5F56,C0098,482.11,1.33,130,2024-09-12
U255857,C0098,477.35,69.92,95,2024-07-23
U64AA26,C0098,474.05,28.15,62,2024-10-11
U2B1899,C0098,426.19,3.36,102,2025-04-10
U94E320,C0099,449.38,15.36,3,2024-09-28
UF2BC8A,C0099,224.97,26.09,16,2024-09-22
U7C43CE,C0099,277.41,79.08,164,2025-02-21
U306C4A,C0099,408.71,59.94,153,2024-06-09
U6A57D9,C0099,463.94,44.13,223,2025-03-04
UA233E7,C0099,362.41,3.24,219,2024-10-16
U08F5D0,C0100,165.62,75.65,120,2024-10-14
U544C3B,C0100,209.68,8.38,7,2024-09-08
U9BC17F,C0100,462.15,46.79,294,2024-09-16
U00E231,C0100,126.4,6.41,50,2024-10-11
U10BFE6,C0101,388.57,2.55,258,2024-07-04
UB4B626,C0101,65.99,66.85,231,2024-09-15
U478953,C0101,471.33,9.29,300,2024-06-15
U343047,C0101,76.5,56.21,94,2024-09-22
U73C405,C0101,263.01,36.07,156,2024-09-22
U0E9F1D,C0102,174.36,47.5,131,2025-01-22
U3A7C92,C0102,315.08,64.14,135,2025-03-22
UFD1DBE,C0102,321.6,24.18,169,2024-10-28
U3E3D84,C0103,82.84,34.4,88,2024-10-29
U882325,C0103,244.81,42.84,221,2024-10-30
UA683D3,C0103,316.42,68.41,223,2024-10-17
UD37F0D,C0104,278.87,70.36,19,2024-07-09
U7934EF,C0104,173.79,76.2,87,2024-10-08
U86FEBB,C0104,287.11,58.5,239,2025-04-07
UC834BE,C0104,82.72,22.05,9,2025-05-06
U8B41B1,C0104,370.6,39.67,254,2024-11-22
U57004D,C0105,334.98,36.71,259,2024-09-20
U490CC0,C0105,42.66,39.71,261,2025-01-29
U11148F,C0105,348.67,11.21,27,2024-08-18
UF78D23,C0105,256.63,63.49,183,2024-05-16
U3336EF,C0106,360.77,68.97,112,2024-09-15
U4DCE57,C0106,103.59,61.08,181,2024-11-20
U99CDE2,C0106,232.66,14.68,287,2025-02-17
U93EFBD,C0107,339.2,63.42,197,2025-04-28
U117AAF,C0107,51.11,56.98,83,2024-08-17
U0EB801,C0107,17.91,35.97,77,2025-03-08
U56BE24,C0107,298.92,77.39,59,2024-12-09
UCFD263,C0108,196.86,67.49,205,2025-02-04
UEF155E,C0108,38.39,54.72,214,2024-12-24
U922146,C0108,476.04,34.15,56,2025-04-26
UCA6D7B,C0108,489.0,68.14,10,2025-02-10
U6C371D,C0109,10.81,19.53,13,2024-12-11
U630419,C0109,373.72,14.85,244,2024-06-02
U111ACF,C0109,201.63,38.93,210,2024-08-20
U00A8B5,C0109,20.11,42.53,117,2024-07-12
U381C28,C0109,445.11,16.94,298,2025-01-06
U7527EC,C0110,31.58,31.59,207,2024-05-27
U2F3246,C0110,324.96,39.71,4,2025-04-21
U996BF0,C0110,398.1,27.56,10,2024-08-31
U4D4D59,C0110,267.8,2.61,18,2024-10-21
U85116D,C0110,176.48,73.76,27,2025-01-31
U54D504,C0111,31.1,50.25,95,2024-09-09
UB59010,C0111,186.75,55.5,258,2024-06-26
UA2827C,C0111,416.43,28.44,189,2024-06-21
UDE961A,C0111,446.66,74.29,159,2025-03-10
UAE354C,C0112,296.67,60.03,34,2025-02-19
U28AA1B,C0112,423.67,21.27,213,2024-12-10
UD88EC3,C0112,42.26,4.33,6,2024-05-23
UD2761F,C0113,302.15,60.25,299,2025-01-28
UA6685F,C0113,308.91,3.86,204,2024-11-13
U738A3C,C0113,55.18,9.85,258,2024-11-04
U8DF415,C0113,63.68,71.91,158,2025-03-20
UDF29DE,C0114,212.4,41.99,7,2024-06-29
U36C0CF,C0114,126.14,67.09,47,2024-09-21
U209EB9,C0114,230.46,22.69,47,2024-05-30
UBC4F23,C0114,487.3,61.46,222,2025-02-27
U0E50A2,C0115,173.09,2.35,20,2025-04-01
U577EBC,C0115,146.75,66.15,173,2025-03-19
U94F066,C0115,324.43,16.33,53,2025-01-12
U90499B,C0115,172.88,35.94,67,2025-04-11
U287CA2,C0115,447.64,49.85,26,2025-01-27
UB0FDC2,C0115,360.93,20.2,286,2025-02-02
UA442C1,C0116,27.53,16.23,298,2025-03-23
UC14918,C0116,38.86,34.25,149,2024-09-03
UADB9F8,C0116,282.06,35.65,184,2025-04-12
